,name,Unnamed: 1,city_popdensitytotal_2023,People Near Rapid Transport
61,район Ясенево,admin_level 8,188343.996454023,0.273422569175176
62,район Чертаново Северное,admin_level 8,101454.3049705,0.62942299405226
63,район Коньково,admin_level 8,121649.783399447,0.669639127686875
64,район Коммунарка,admin_level 8,255044.125288575,0.0693549081520036
65,район Тёплый Стан,admin_level 8,83410.6421101975,0.206808646379585
66,Ново-Переделкино,admin_level 8,45530.0416035127,0.538423863050433
67,район Солнцево,admin_level 8,86450.7740585161,0.367977292860612
68,Тропарёво-Никулино,admin_level 8,105974.809523269,0.423325820525988
69,район Проспект Вернадского,admin_level 8,67428.1289693414,0.512272264052303
70,район Очаково-Матвеевское,admin_level 8,129325.888829979,0.154405516340492
71,Можайский район,admin_level 8,145350.239369624,0.126346131907026
72,район Раменки,admin_level 8,162890.16576082,0.418778473585464
73,район Фили-Давыдково,admin_level 8,83707.3886860603,0.717974784728137
74,район Филёвский Парк,admin_level 8,103343.437902362,0.449050217133685
75,район Крылатское,admin_level 8,74699.7042121328,0.294869766142457
76,район Зюзино,admin_level 8,107389.896306614,0.878542573831751
77,Обручевский район,admin_level 8,103295.372923832,0.504458313612138
78,район Черёмушки,admin_level 8,113705.743668798,0.71434043858182
79,район Котловка,admin_level 8,68741.3161260861,0.366995179734067
80,Ломоносовский район,admin_level 8,70143.6937372642,0.371293781191312
81,Академический район,admin_level 8,117048.497480802,0.717789455580754
82,Гагаринский район,admin_level 8,83022.6337137154,0.475357026476241
83,Донской район,admin_level 8,64133.8188976226,0.692726095077193
84,район Якиманка,admin_level 8,48473.1464081456,0.857264955784125
85,район Хамовники,admin_level 8,97880.1730417458,0.816957219780426
86,район Дорогомилово,admin_level 8,74190.1703621324,0.572693968839588
87,район Арбат,admin_level 8,32949.749841269,0.999963866764623
88,Пресненский район,admin_level 8,142956.364790934,0.769129953963207
89,Тверской район,admin_level 8,106016.01286508,0.855836215763734
90,Хорошёвский район,admin_level 8,97934.4090187854,0.793907047999192
91,район Беговой,admin_level 8,40964.9587271528,0.288816539530581
92,Савёловский район,admin_level 8,45631.7516132307,0.432947076680229
93,район Аэропорт,admin_level 8,65567.7996902342,0.749614126372682
94,Бутырский район,admin_level 8,72397.5829575304,0.866086859780486
95,Тимирязевский район,admin_level 8,121951.460691293,0.368029447176168
96,район Кунцево,admin_level 8,135092.093662017,0.321664984422216
97,район Хорошёво-Мнёвники,admin_level 8,162428.247515597,0.321843812543956
98,район Строгино,admin_level 8,132206.202423743,0.332212306895373
99,район Щукино,admin_level 8,95951.7326305081,0.5950300745861
100,район Сокол,admin_level 8,57302.9141552212,0.872924530145263
101,район Покровское-Стрешнево,admin_level 8,115857.14877323,0.221701075124878
102,Войковский район,admin_level 8,69276.3791568276,0.511378158782945
103,район Южное Тушино,admin_level 8,97730.7761137441,0.254954824784861
104,район Коптево,admin_level 8,68024.70621069,0.510752232584616
105,район Марфино,admin_level 8,22389.4167091662,0.602292421838732
106,Головинский район,admin_level 8,114638.886228488,0.273759813286174
107,Бескудниковский район,admin_level 8,70936.2153997604,0.745655589388437
108,район Западное Дегунино,admin_level 8,98903.780445485,0.204181887963575
109,район Восточное Дегунино,admin_level 8,83855.9631449769,0.241566285006413
110,Алтуфьевский район,admin_level 8,86564.0695643233,0.257881493514833
111,Дмитровский район,admin_level 8,93577.0814473694,0.361015190278335
112,район Лианозово,admin_level 8,91540.0470301934,0.33216329109956
113,район Северный,admin_level 8,31949.5701561711,0.276426047879027
114,район Митино,admin_level 8,127266.789639819,0.636943882282135
115,район Северное Тушино,admin_level 8,124380.622866545,0.59813498052957
116,район Левобережный,admin_level 8,67733.2325435408,0.569778706027911
117,район Ховрино,admin_level 8,72216.8558558864,0.360655979165515
118,район Куркино,admin_level 8,26285.9504967248,0.0
119,Молжаниновский район,admin_level 8,10619.589294517,0.0
120,Войковский район,admin_level 8,69276.3791568276,0.511378158782945
121,район Южное Тушино,admin_level 8,97730.7761137441,0.254954824784861
122,район Коптево,admin_level 8,68024.70621069,0.510752232584616
123,район Марфино,admin_level 8,22389.4167091662,0.602292421838732
124,Головинский район,admin_level 8,114638.886228488,0.273759813286174
125,Бескудниковский район,admin_level 8,70936.2153997604,0.745655589388437
126,район Западное Дегунино,admin_level 8,98903.780445485,0.204181887963575
127,район Восточное Дегунино,admin_level 8,83855.9631449769,0.241566285006413
128,Алтуфьевский район,admin_level 8,86564.0695643233,0.257881493514833
129,Дмитровский район,admin_level 8,93577.0814473694,0.361015190278335
130,район Лианозово,admin_level 8,91540.0470301934,0.33216329109956
131,район Северный,admin_level 8,31949.5701561711,0.276426047879027
132,район Митино,admin_level 8,127266.789639819,0.636943882282135
133,район Северное Тушино,admin_level 8,124380.622866545,0.59813498052957
134,район Левобережный,admin_level 8,67733.2325435408,0.569778706027911
135,район Ховрино,admin_level 8,72216.8558558864,0.360655979165515
136,район Куркино,admin_level 8,26285.9504967248,0.0
137,Молжаниновский район,admin_level 8,10619.589294517,0.0
138,район Крюково,,110660.0,0.0
139,район Старое Крюково,,37824.0,0.0
140,Филимонковский район,,103900.0,0.0
141,район Внуково,,25182.0,0.0
142,район Силино,,42047.0,0.0
143,район Матушкино,,43049.0,0.0
144,район Савёлки,,36947.0,0.0
145,район Бекасово,,33900.0,0.0
146,район Троицк,,71615.0,0.0
147,район Щербинка,,135000.0,0.0
148,район Вороново,,14565.0,0.0
149,Краснопахорский район,,35900.0,0.0
